timestamp_ms,price,sources,spread
1775408599458,67207.6,2,2.4
1775408600459,67207.77,3,2.3
1775408601460,67209.3,3,2.09
1775408602461,67209.3,3,2.09
1775408603462,67210.14,3,4.39
1775408604463,67210.14,3,4.39
1775408605464,67213.22,3,3.74
1775408606465,67214.55,3,1.85
1775408607466,67214.55,3,1.85
1775408608467,67214.68,3,1.8
1775408609470,67214.68,3,1.8
1775408610471,67214.68,3,1.8
1775408611472,67217.92,3,5.25
1775408612473,67218.75,3,2.76
1775408613474,67218.78,3,2.87
1775408614475,67218.78,3,2.87
1775408615476,67219.45,3,2.86
1775408616477,67219.88,3,3.46
1775408616810,67221.65,2,1.9
1775408617478,67222.01,3,2.02
1775408617811,67222.01,3,2.02
1775408618479,67222.57,3,0.32
1775408618812,67222.57,3,0.32
1775408619481,67222.57,3,0.31
1775408619813,67222.57,3,0.31
1775408620482,67222.57,3,0.31
1775408620814,67222.57,3,0.31
1775408621482,67223.07,3,1.7
1775408621815,67223.07,3,1.7
1775408622483,67223.07,3,1.7
1775408622816,67223.07,3,1.7
1775408623484,67223.1,3,1.6
1775408623816,67223.5,3,1.39
1775408624485,67223.5,3,1.39
1775408624817,67223.5,3,1.39
1775408625486,67223.5,3,1.39
1775408625817,67223.67,3,1.89
1775408626486,67223.67,3,1.89
1775408626818,67223.67,3,1.89
1775408627487,67224.07,3,3.19
1775408627820,67225.37,3,4.19
1775408628489,67226.0,3,2.3
1775408628821,67226.0,3,2.3
1775408629490,67226.0,3,2.3
1775408629821,67226.0,3,2.3
1775408630491,67226.0,3,2.3
1775408630822,67226.0,3,2.3
1775408631492,67226.0,3,2.31
1775408631823,67226.0,3,2.31
1775408632493,67226.0,3,2.3
1775408632824,67226.0,3,2.3
1775408633493,67226.0,3,2.3
1775408633825,67226.0,3,2.3
1775408634495,67226.0,3,2.31
1775408634826,67226.0,3,2.31
1775408635496,67226.0,3,2.3
1775408635827,67226.0,3,2.3
1775408636497,67226.0,3,2.3
1775408636828,67226.0,3,2.3
1775408637498,67225.97,3,2.2
1775408637829,67225.97,3,2.2
1775408638499,67225.96,3,2.21
1775408638829,67225.96,3,2.21
1775408639500,67225.96,3,2.21
1775408639830,67225.96,3,2.21
1775408640501,67225.97,3,2.2
1775408640830,67225.97,3,2.2
1775408641501,67225.97,3,2.2
1775408641832,67225.97,3,2.2
1775408642501,67225.96,3,2.21
1775408642832,67225.96,3,2.21
1775408643502,67225.97,3,2.2
1775408643833,67225.97,3,2.2
1775408644504,67226.0,3,2.3
1775408644833,67226.0,3,2.3
1775408645505,67226.0,3,2.3
1775408645834,67226.0,3,2.3
1775408646506,67226.0,3,2.3
1775408646835,67226.0,3,2.3
1775408647507,67226.0,3,2.3
1775408647837,67226.0,3,2.3
1775408648508,67226.0,3,2.3
1775408648838,67226.0,3,2.3
1775408649509,67226.0,3,2.3
1775408649840,67226.0,3,2.3
1775408650510,67226.0,3,2.3
1775408650841,67226.0,3,2.3
1775408651511,67226.0,3,2.3
1775408651841,67226.03,3,2.3
1775408652512,67226.0,3,2.3
1775408652842,67226.0,3,2.3
1775408653513,67226.0,3,2.3
1775408653844,67226.0,3,2.3
1775408654514,67226.0,3,2.31
1775408654845,67226.0,3,2.31
1775408655516,67226.0,3,2.31
1775408655845,67226.0,3,2.31
1775408656517,67226.0,3,2.3
1775408656846,67226.0,3,2.3
1775408657518,67226.03,3,2.3
1775408657856,67226.03,3,2.3
1775408658519,67226.03,3,2.3
1775408658858,67226.0,3,2.2
1775408659520,67226.0,3,2.2
1775408659869,67226.0,3,2.2
1775408660522,67226.0,3,2.2
1775408660870,67226.0,3,2.2
1775408661525,67226.0,3,2.2
1775408661872,67226.0,3,2.2
1775408662526,67226.0,3,2.2
1775408662873,67225.97,3,2.2
1775408663528,67225.97,3,2.2
1775408663873,67225.97,3,2.2
1775408664529,67226.0,3,2.3
1775408664874,67226.0,3,2.3
1775408665529,67226.0,3,2.3
1775408665876,67226.0,3,2.3
1775408666531,67226.0,3,2.3
1775408666877,67226.0,3,2.3
1775408667532,67226.0,3,2.3
1775408667878,67226.0,3,2.3
1775408668533,67226.0,3,2.31
1775408668880,67226.0,3,2.31
1775408669534,67226.0,3,2.31
1775408669881,67225.96,3,2.21
1775408670535,67225.97,3,2.2
1775408670882,67225.97,3,2.2
1775408671536,67225.97,3,2.2
1775408671884,67226.0,3,2.2
1775408672537,67226.0,3,2.21
1775408672885,67226.0,3,2.21
1775408673539,67226.03,3,2.31
1775408673886,67226.03,3,2.31
1775408674540,67226.03,3,2.31
1775408674887,67226.03,3,2.31
1775408675541,67226.03,3,2.31
1775408675888,67226.03,3,2.31
