timestamp_ms,condition_id,end_date,up_best_bid,up_best_ask,up_bid_depth,down_best_bid,down_best_ask,down_bid_depth,btc_price
1775323481024,0xc88fe234943cd21ce402c6b6465b7766a7fcab42d8a3261432515ffe7db94542,2026-04-04T17:25:00Z,0.97,0.98,5300.02,0.02,0.03,49.11,67395.43
1775323481024,0xb17834fb4ce73e3cc261679cea2094ccaa1789a0ff64e96429cf393d182ca590,2026-04-04T17:25:00Z,0.99,0,2229.97,0,0.01,0,67395.43
1775323481024,0x540a6d971ff8650d36cb65876ade7df47338cb069649672d074a9ec50a27f25b,2026-04-04T17:25:00Z,0.99,0,1471.94,0,0.01,0,67395.43
1775323481024,0xbaf943d6fd5294c737350bbe5c67c43d4f07faf42adc1dbbf7508370ffb9f039,2026-04-04T17:30:00Z,0.91,0.92,5544.9,0.08,0.09,119.67,67395.43
1775323481024,0x387a1e1939dbb284588df24922b39d1ccba3a4a376a6a2f0da679c858dedd474,2026-04-04T17:30:00Z,0.69,0.7,3094.73,0.3,0.31,477.83,67395.43
1775323481024,0x8633c2629262f18683909f39a489bd5018b5bf0756733ce2582d38b8b7c3949a,2026-04-04T17:30:00Z,0.73,0.74,4317.98,0.26,0.27,311.82,67395.43
1775323481024,0x0672b2798bbe443927c5b11d97ceac7cb52630a869c30d403cdd22e8e2e7b808,2026-04-04T17:30:00Z,0.5,0.51,8864.81,0.49,0.5,8917.59,67395.43
1775323481024,0x2214ac14c47223a0ae5ea9501933f17244eecdc18fa97dfc6eabcf11d12d3823,2026-04-04T17:30:00Z,0.48,0.49,6207.3,0.51,0.52,6252.78,67395.43
1775323481024,0xc180dbbb7e1f242729619fbe943de4f3c2282195eaed2e40040e92eb9d046a65,2026-04-04T17:30:00Z,0.48,0.5,6583.28,0.5,0.52,6593.7,67395.43
1775323481024,0xf805096adb58bce887752ee9451b6f3bd472e2df5f8271e1d897d4d706180301,2026-04-04T17:35:00Z,0.5,0.51,4753.87,0.49,0.5,4882.62,67395.43
1775323481024,0xe139950b23d03b8295e3cc570267678e21ce67ba2d925c88d1fdc933b7b7e5da,2026-04-04T17:35:00Z,0.5,0.51,2926.79,0.49,0.5,2921.92,67395.43
1775323481024,0x505e39c039b1a765f6e0220e51ed648e4cf163ebdf9b4553b0a0d21d97248437,2026-04-04T17:35:00Z,0.49,0.51,2961.13,0.49,0.51,2993.24,67395.43
1775323481024,0xd3df192836e6a33ce0334bf84f0871e3c355f686b9da89f27d29c446251d1158,2026-04-04T17:40:00Z,0.49,0.5,3559.09,0.5,0.51,3561.68,67395.43
1775323481024,0x9e07701aeec97133dd6bd5b96b7c82204d6c6beddc7dd92783e772f90fde4b2e,2026-04-04T17:40:00Z,0.5,0.51,3697.34,0.49,0.5,3671.43,67395.43
1775323481024,0x614128d01f88e8330a02ade9792c0e916a4bb93b3c140129143167182c280f23,2026-04-04T17:40:00Z,0.49,0.5,3456.34,0.5,0.51,3461.84,67395.43
1775323481024,0xa877f49aa599c31b9e43ed9da05b35935165046eaa7e8fa47041adeb1066d949,2026-04-04T17:45:00Z,0.5,0.51,12242.32,0.49,0.5,12161.58,67395.43
